S0 cate	S0 silvia	Sr cate	Sr silvia
13.158927812741942	13.162983652113398	17.64915150253337	17.649151502533375
24.75242103180532	24.762490728374978	31.017670243449174	31.017670243449164
9.369241879713142	9.364785100881436	12.467923745519524	12.46792374551952
12.87607283609612	12.880865092470072	16.380821715257923	16.380821715257923
10.067485904575491	10.073908242065972	12.023151792687923	12.023151792687928
7.463187536076372	7.4663712690655615	9.251495808228073	9.251495808228073
4.870463899851342	4.868456514341771	6.620798572814037	6.620798572814037
30.958465589824563	30.94959047052204	42.12542726408291	42.12542726408288
11.834290832458551	11.83955707584583	16.504903014352916	16.504903014352923
13.594154106558548	13.588716734625178	18.171251941900003	18.1712519419
40.78900029874106	40.77384323038203	51.31526277624687	51.315262776246875
24.581266342554148	24.581662636154476	34.159892173863554	34.15989217386355
11.50514898737856	11.500294171063686	14.246694758043695	14.246694758043692
10.088037053947307	10.091995064565127	12.893597044951028	12.893597044951024
28.703918193152223	28.71223913170274	39.259206593403135	39.25920659340314
16.153598987330305	16.14306742653775	18.56471656253933	18.564716562539342
