S0 cate	S0 silvia	Sr cate	Sr silvia
12.161717805761654	10.129998072184804	16.93974554577108	16.939745545771075
19.465874573139246	19.26541165991472	25.934568728722756	25.934568728722763
6.980790857160109	5.673390533612149	9.260795717665506	9.260795717665506
17.003200117622388	17.000246459955747	23.42475424605039	23.424754246050384
15.072482319475442	14.241785045099522	19.678553270788033	19.678553270788022
9.783068780838928	8.31024527096696	13.342657944635445	13.342657944635445
6.072731219577303	5.120167827019432	8.902822412302664	8.902822412302664
26.88100511228873	27.53540589174306	39.968836485883074	39.968836485883074
12.043636973887507	9.322036707198748	18.065575464970713	18.065575464970703
9.053690122544845	7.788842705080528	12.888904766501641	12.888904766501637
33.81549699348204	34.94819260412095	46.32322146573455	46.32322146573455
19.950546433077232	21.285300157461542	33.07405259259199	33.07405259259199
12.016110968259717	11.194880299235608	16.04446921469597	16.044469214695965
9.549073272487437	5.898068105962382	12.339633997343661	12.339633997343658
20.244661447582438	21.601204235779495	31.994709849915267	31.994709849915285
17.039030695176137	16.747517653629394	19.50277473614055	19.502774736140555
