S0 cate	S0 silvia	Sr cate	Sr silvia
20.343801121141652	20.34831613164889	28.524410886394456	28.52441088639447
35.57387856018942	35.558078694864584	44.49498779777981	44.494987797779835
11.923852149478273	11.919341432886155	16.00872858411703	16.008728584117023
30.638071544911835	30.630890406300598	37.8805624209983	37.880562420998295
26.98068493615418	26.971318683418314	33.40127348845125	33.40127348845125
16.450546000415653	16.44567160193866	22.188726724590445	22.188726724590452
10.259977174059314	10.259825019635064	14.700272964943661	14.700272964943661
48.82988544148045	48.84279151102817	67.08643545357705	67.08643545357711
19.43889136052797	19.438780986633336	30.912827695945595	30.912827695945637
15.638432525801568	15.642679017265841	21.954090317813463	21.954090317813527
62.07592807102926	62.056385822523474	77.53870029521109	77.53870029521114
33.994422246525176	33.994662155916956	49.52671861785395	49.526718617853945
21.260480501731347	21.252919304532337	27.071810574844843	27.071810574844843
14.676565625897192	14.67430745760102	20.95294043180068	20.952940431800712
37.4889025957672	37.50077142430058	54.47904052600051	54.47904052600051
18.599514116193877	18.61134514954439	21.0637056297075	21.063705629707506
